[-252.        ,-343.46137678], [ 0.        ,39.82661737], [271.11020357,287.67844679]
[-343.46137678,-483.64155234], [ 39.82661737,116.04439676], [287.67844679,-71.24983334]
[-483.64155234,-472.70589783], [116.04439676,278.63378874], [ -71.24983334,-317.11339407]
[-252.        ,-160.53929051], [  0.       ,-39.8259935], [271.11020357,254.54213084]
[-160.53929051,-263.87117626], [ -39.8259935 ,-134.01881184], [ 254.54213084,-126.25626878]
[-263.87117626,-231.0320596 ], [-134.01881184,-149.31805654], [-126.25626878,-479.08890571]
[-252.        ,-286.20709505], [  0.        ,-90.36469925], [271.11020357,449.61201613]
[-286.20709505,-371.06112836], [ -90.36469925,-190.08615396], [449.61201613,596.42411068]
[-371.06112836,-419.65656277], [-190.08615396,-242.07254263], [596.42411068,594.25704839]
[-419.65656277,-429.34373451], [-242.07254263,-253.51587342], [594.25704839,690.33457579]
[-371.06112836,-276.13175052], [-190.08615396,-233.81989626], [596.42411068,587.96684589]
[-276.13175052,-142.211364  ], [-233.81989626,-347.32820524], [587.96684589,435.49568104]
[-142.211364  ,-271.37903063], [-347.32820524,-416.21286942], [435.49568104,277.80950572]
[-371.06112836,-442.00605809], [-190.08615396,-119.15427093], [596.42411068,535.44030162]
[-442.00605809,-521.12407081], [-119.15427093, -68.69342256], [535.44030162,307.73817933]
[-521.12407081,-597.3136036 ], [ -68.69342256,-142.68214309], [307.73817933,156.49736162]
